Card_ID,Customer_ID,Card_Type
CR0142,C0142,Credit
CR0143,C0143,Debit
CR0144,C0144,Credit
CR0145,C0145,Debit
CR0146,C0146,Credit
CR0147,C0147,Debit
CR0148,C0148,Credit
CR0149,C0149,Debit
CR0150,C0150,Credit
CR0151,C0151,Debit
CR0152,C0152,Credit
CR0153,C0153,Debit
CR0154,C0154,Credit
CR0155,C0155,Debit
CR0156,C0156,Credit
CR0157,C0157,Debit
CR0158,C0158,Credit
CR0159,C0159,Debit
CR0160,C0160,Credit
CR0161,C0161,Debit
CR0162,C0162,Credit
CR0163,C0163,Debit
CR0164,C0164,Credit
CR0165,C0165,Debit
CR0166,C0166,Credit
CR0167,C0167,Debit
CR0168,C0168,Credit
CR0169,C0169,Debit
CR0170,C0170,Credit
CR0171,C0171,Debit
CR0172,C0172,Credit
CR0173,C0173,Debit
CR0174,C0174,Credit
CR0175,C0175,Debit
CR0176,C0176,Credit
CR0177,C0177,Debit
CR0178,C0178,Credit
CR0179,C0179,Debit
CR0180,C0180,Credit
CR0181,C0181,Debit
CR0182,C0182,Credit
CR0183,C0183,Debit
CR0184,C0184,Credit
CR0185,C0185,Debit
CR0186,C0186,Credit
CR0187,C0187,Debit
CR0188,C0188,Credit
CR0189,C0189,Debit
CR0190,C0190,Credit
CR0191,C0191,Debit
CR0192,C0192,Credit
CR0193,C0193,Debit
CR0194,C0194,Credit
CR0195,C0195,Debit
CR0196,C0196,Credit
CR0197,C0197,Debit
CR0198,C0198,Credit
CR0199,C0199,Debit
CR0200,C0200,Credit
CR0201,C0201,Debit
CR0202,C0202,Credit
CR0203,C0203,Debit
CR0204,C0204,Credit
CR0205,C0205,Debit
CR0206,C0206,Credit
CR0207,C0207,Debit
CR0208,C0208,Credit
CR0209,C0209,Debit
CR0210,C0210,Credit
CR0211,C0211,Debit
CR0212,C0212,Credit
CR0213,C0213,Debit
CR0214,C0214,Credit
CR0215,C0215,Debit
CR0216,C0216,Credit
CR0217,C0217,Debit
CR0218,C0218,Credit
CR0219,C0219,Debit
CR0220,C0220,Credit
CR0221,C0221,Debit
CR0222,C0222,Credit
CR0223,C0223,Debit
CR0224,C0224,Credit
CR0225,C0225,Debit
CR0226,C0226,Credit
CR0227,C0227,Debit
CR0228,C0228,Credit
CR0229,C0229,Debit
CR0230,C0230,Credit
CR0231,C0231,Debit
CR0232,C0232,Credit
CR0233,C0233,Debit
CR0234,C0234,Credit
CR0235,C0235,Debit
CR0236,C0236,Credit
CR0237,C0237,Debit
CR0238,C0238,Credit
CR0239,C0239,Debit
CR0240,C0240,Credit
CR0241,C0241,Debit
CR0242,C0242,Credit
CR0243,C0243,Debit
CR0244,C0244,Credit
CR0245,C0245,Debit
CR0246,C0246,Credit
CR0247,C0247,Debit
CR0248,C0248,Credit
CR0249,C0249,Debit
CR0250,C0250,Credit
CR0251,C0251,Debit
CR0252,C0252,Credit
CR0253,C0253,Debit
CR0254,C0254,Credit
CR0255,C0255,Debit
CR0256,C0256,Credit
CR0257,C0257,Debit
CR0258,C0258,Credit
CR0259,C0259,Debit
CR0260,C0260,Credit
CR0261,C0261,Debit
CR0262,C0262,Credit
CR0263,C0263,Debit
CR0264,C0264,Credit
CR0265,C0265,Debit
CR0266,C0266,Credit
CR0267,C0267,Debit
CR0268,C0268,Credit
CR0269,C0269,Debit
CR0270,C0270,Credit
CR0271,C0271,Debit
CR0272,C0272,Credit
CR0273,C0273,Debit
CR0274,C0274,Credit
CR0275,C0275,Debit
CR0276,C0276,Credit
CR0277,C0277,Debit
CR0278,C0278,Credit
CR0279,C0279,Debit
CR0280,C0280,Credit
CR0281,C0281,Debit
CR0282,C0282,Credit
CR0283,C0283,Debit
CR0284,C0284,Credit
CR0285,C0285,Debit
CR0286,C0286,Credit
CR0287,C0287,Debit
CR0288,C0288,Credit
CR0289,C0289,Debit
CR0290,C0290,Credit
CR0291,C0291,Debit
CR0292,C0292,Credit
CR0293,C0293,Debit
CR0294,C0294,Credit
CR0295,C0295,Debit
CR0296,C0296,Credit
CR0297,C0297,Debit
CR0298,C0298,Credit
CR0299,C0299,Debit
CR0300,C0300,Credit
CR0301,C0301,Debit
CR0302,C0302,Credit
CR0303,C0303,Debit
CR0304,C0304,Credit
CR0305,C0305,Debit
CR0306,C0306,Credit
CR0307,C0307,Debit
CR0308,C0308,Credit
CR0309,C0309,Debit
CR0310,C0310,Credit
CR0311,C0311,Debit
CR0312,C0312,Credit
CR0313,C0313,Debit
CR0314,C0314,Credit
CR0315,C0315,Debit
CR0316,C0316,Credit
CR0317,C0317,Debit
CR0318,C0318,Credit
CR0319,C0319,Debit
CR0320,C0320,Credit
CR0321,C0321,Debit
CR0322,C0322,Credit
CR0323,C0323,Debit
CR0324,C0324,Credit
CR0325,C0325,Debit
CR0326,C0326,Credit
CR0327,C0327,Debit
CR0328,C0328,Credit
CR0329,C0329,Debit
CR0330,C0330,Credit
CR0331,C0331,Debit
CR0332,C0332,Credit
CR0333,C0333,Debit
CR0334,C0334,Credit
CR0335,C0335,Debit
CR0336,C0336,Credit
CR0337,C0337,Debit
CR0338,C0338,Credit
CR0339,C0339,Debit
CR0340,C0340,Credit
CR0341,C0341,Debit
CR0342,C0342,Credit
CR0343,C0343,Debit
CR0344,C0344,Credit
CR0345,C0345,Debit
CR0346,C0346,Credit
CR0347,C0347,Debit
CR0348,C0348,Credit
CR0349,C0349,Debit
CR0350,C0350,Credit
CR0351,C0351,Debit
CR0352,C0352,Credit
CR0353,C0353,Debit
CR0354,C0354,Credit
CR0355,C0355,Debit
CR0356,C0356,Credit
CR0357,C0357,Debit
CR0358,C0358,Credit
CR0359,C0359,Debit
CR0360,C0360,Credit
CR0361,C0361,Debit
CR0362,C0362,Credit
CR0363,C0363,Debit
CR0364,C0364,Credit
CR0365,C0365,Debit
CR0366,C0366,Credit
CR0367,C0367,Debit
CR0368,C0368,Credit
CR0369,C0369,Debit
CR0370,C0370,Credit
CR0371,C0371,Debit
CR0372,C0372,Credit
CR0373,C0373,Debit
CR0374,C0374,Credit
CR0375,C0375,Debit
CR0376,C0376,Credit
CR0377,C0377,Debit
CR0378,C0378,Credit
CR0379,C0379,Debit
CR0380,C0380,Credit
CR0381,C0381,Debit
CR0382,C0382,Credit
CR0383,C0383,Debit
CR0384,C0384,Credit
CR0385,C0385,Debit
CR0386,C0386,Credit
CR0387,C0387,Debit
CR0388,C0388,Credit
CR0389,C0389,Debit
CR0390,C0390,Credit
CR0391,C0391,Debit
CR0392,C0392,Credit
CR0393,C0393,Debit
CR0394,C0394,Credit
CR0395,C0395,Debit
CR0396,C0396,Credit
CR0397,C0397,Debit
CR0398,C0398,Credit
CR0399,C0399,Debit
CR0400,C0400,Credit
CR0401,C0401,Debit
CR0402,C0402,Credit
CR0403,C0403,Debit
CR0404,C0404,Credit
CR0405,C0405,Debit
CR0406,C0406,Credit
CR0407,C0407,Debit
CR0408,C0408,Credit
CR0409,C0409,Debit
CR0410,C0410,Credit
CR0411,C0411,Debit
CR0412,C0412,Credit
CR0413,C0413,Debit
CR0414,C0414,Credit
CR0415,C0415,Debit
CR0416,C0416,Credit
CR0417,C0417,Debit
CR0418,C0418,Credit
CR0419,C0419,Debit
CR0420,C0420,Credit
CR0421,C0421,Debit
CR0422,C0422,Credit
CR0423,C0423,Debit
CR0424,C0424,Credit
CR0425,C0425,Debit
CR0426,C0426,Credit
CR0427,C0427,Debit
CR0428,C0428,Credit
CR0429,C0429,Debit
CR0430,C0430,Credit
CR0431,C0431,Debit
CR0432,C0432,Credit
CR0433,C0433,Debit
CR0434,C0434,Credit
CR0435,C0435,Debit
CR0436,C0436,Credit
CR0437,C0437,Debit
CR0438,C0438,Credit
CR0439,C0439,Debit
CR0440,C0440,Credit
CR0441,C0441,Debit
CR0442,C0442,Credit
CR0443,C0443,Debit
CR0444,C0444,Credit
CR0445,C0445,Debit
CR0446,C0446,Credit
CR0447,C0447,Debit
CR0448,C0448,Credit
CR0449,C0449,Debit
CR0450,C0450,Credit
CR0451,C0451,Debit
CR0452,C0452,Credit
CR0453,C0453,Debit
CR0454,C0454,Credit
CR0455,C0455,Debit
CR0456,C0456,Credit
CR0457,C0457,Debit
CR0458,C0458,Credit
CR0459,C0459,Debit
CR0460,C0460,Credit
CR0461,C0461,Debit
CR0462,C0462,Credit
CR0463,C0463,Debit
CR0464,C0464,Credit
CR0465,C0465,Debit
CR0466,C0466,Credit
CR0467,C0467,Debit
CR0468,C0468,Credit
CR0469,C0469,Debit
CR0470,C0470,Credit
CR0471,C0471,Debit
CR0472,C0472,Credit
CR0473,C0473,Debit
CR0474,C0474,Credit
CR0475,C0475,Debit
CR0476,C0476,Credit
CR0477,C0477,Debit
CR0478,C0478,Credit
CR0479,C0479,Debit
CR0480,C0480,Credit
CR0481,C0481,Debit
CR0482,C0482,Credit
CR0483,C0483,Debit
CR0484,C0484,Credit
CR0485,C0485,Debit
CR0486,C0486,Credit
CR0487,C0487,Debit
CR0488,C0488,Credit
CR0489,C0489,Debit
CR0490,C0490,Credit
CR0491,C0491,Debit
CR0492,C0492,Credit
CR0493,C0493,Debit
CR0494,C0494,Credit
CR0495,C0495,Debit
CR0496,C0496,Credit
CR0497,C0497,Debit
CR0498,C0498,Credit
CR0499,C0499,Debit
CR0500,C0500,Credit
CR0501,C0501,Debit
CR0502,C0502,Credit
CR0503,C0503,Debit
CR0504,C0504,Credit
CR0505,C0505,Debit
CR0506,C0506,Credit
CR0507,C0507,Debit
CR0508,C0508,Credit
CR0509,C0509,Debit
CR0510,C0510,Credit
CR0511,C0511,Debit
CR0512,C0512,Credit
CR0513,C0513,Debit
CR0514,C0514,Credit
CR0515,C0515,Debit
CR0516,C0516,Credit
CR0517,C0517,Debit
CR0518,C0518,Credit
CR0519,C0519,Debit
CR0520,C0520,Credit
CR0521,C0521,Debit
CR0522,C0522,Credit
CR0523,C0523,Debit
CR0524,C0524,Credit
CR0525,C0525,Debit
CR0526,C0526,Credit
CR0527,C0527,Debit
CR0528,C0528,Credit
CR0529,C0529,Debit
CR0530,C0530,Credit
CR0531,C0531,Debit
CR0532,C0532,Credit
CR0533,C0533,Debit
CR0534,C0534,Credit
CR0535,C0535,Debit
CR0536,C0536,Credit
CR0537,C0537,Debit
CR0538,C0538,Credit
CR0539,C0539,Debit
CR0540,C0540,Credit
CR0541,C0541,Debit
CR0542,C0542,Credit
CR0543,C0543,Debit
CR0544,C0544,Credit
CR0545,C0545,Debit
CR0546,C0546,Credit
CR0547,C0547,Debit
CR0548,C0548,Credit
CR0549,C0549,Debit
CR0550,C0550,Credit
CR0551,C0551,Debit
CR0552,C0552,Credit
CR0553,C0553,Debit
CR0554,C0554,Credit
CR0555,C0555,Debit
CR0556,C0556,Credit
CR0557,C0557,Debit
CR0558,C0558,Credit
CR0559,C0559,Debit
CR0560,C0560,Credit
CR0561,C0561,Debit
CR0562,C0562,Credit
CR0563,C0563,Debit
CR0564,C0564,Credit
CR0565,C0565,Debit
CR0566,C0566,Credit
CR0567,C0567,Debit
CR0568,C0568,Credit
CR0569,C0569,Debit
CR0570,C0570,Credit
CR0571,C0571,Debit
CR0572,C0572,Credit
CR0573,C0573,Debit
CR0574,C0574,Credit
CR0575,C0575,Debit
CR0576,C0576,Credit
CR0577,C0577,Debit
CR0578,C0578,Credit
CR0579,C0579,Debit
CR0580,C0580,Credit
CR0581,C0581,Debit
CR0582,C0582,Credit
CR0583,C0583,Debit
CR0584,C0584,Credit
CR0585,C0585,Debit
CR0586,C0586,Credit
CR0587,C0587,Debit
CR0588,C0588,Credit
CR0589,C0589,Debit
CR0590,C0590,Credit
CR0591,C0591,Debit
CR0592,C0592,Credit
CR0593,C0593,Debit
CR0594,C0594,Credit
CR0595,C0595,Debit
CR0596,C0596,Credit
CR0597,C0597,Debit
CR0598,C0598,Credit
CR0599,C0599,Debit
CR0600,C0600,Credit
CR0601,C0601,Debit
CR0602,C0602,Credit
CR0603,C0603,Debit
CR0604,C0604,Credit
CR0605,C0605,Debit
CR0606,C0606,Credit
CR0607,C0607,Debit
CR0608,C0608,Credit
CR0609,C0609,Debit
CR0610,C0610,Credit
CR0611,C0611,Debit
CR0612,C0612,Credit
CR0613,C0613,Debit
CR0614,C0614,Credit
CR0615,C0615,Debit
CR0616,C0616,Credit
CR0617,C0617,Debit
CR0618,C0618,Credit
CR0619,C0619,Debit
CR0620,C0620,Credit
CR0621,C0621,Debit
CR0622,C0622,Credit
CR0623,C0623,Debit
CR0624,C0624,Credit
CR0625,C0625,Debit
CR0626,C0626,Credit
CR0627,C0627,Debit
CR0628,C0628,Credit
CR0629,C0629,Debit
CR0630,C0630,Credit
CR0631,C0631,Debit
CR0632,C0632,Credit
CR0633,C0633,Debit
CR0634,C0634,Credit
CR0635,C0635,Debit
CR0636,C0636,Credit
CR0637,C0637,Debit
CR0638,C0638,Credit
CR0639,C0639,Debit
CR0640,C0640,Credit
CR0641,C0641,Debit
CR0642,C0642,Credit
CR0643,C0643,Debit
CR0644,C0644,Credit
CR0645,C0645,Debit
CR0646,C0646,Credit
CR0647,C0647,Debit
CR0648,C0648,Credit
CR0649,C0649,Debit
CR0650,C0650,Credit
CR0651,C0651,Debit
CR0652,C0652,Credit
CR0653,C0653,Debit
CR0654,C0654,Credit
CR0655,C0655,Debit
CR0656,C0656,Credit
CR0657,C0657,Debit
CR0658,C0658,Credit
CR0659,C0659,Debit
CR0660,C0660,Credit
CR0661,C0661,Debit
CR0662,C0662,Credit
CR0663,C0663,Debit
CR0664,C0664,Credit
CR0665,C0665,Debit
CR0666,C0666,Credit
CR0667,C0667,Debit
CR0668,C0668,Credit
CR0669,C0669,Debit
CR0670,C0670,Credit
CR0671,C0671,Debit
CR0672,C0672,Credit
CR0673,C0673,Debit
CR0674,C0674,Credit
CR0675,C0675,Debit
CR0676,C0676,Credit
CR0677,C0677,Debit
CR0678,C0678,Credit
CR0679,C0679,Debit
CR0680,C0680,Credit
CR0681,C0681,Debit
CR0682,C0682,Credit
CR0683,C0683,Debit
CR0684,C0684,Credit
CR0685,C0685,Debit
CR0686,C0686,Credit
CR0687,C0687,Debit
CR0688,C0688,Credit
CR0689,C0689,Debit
CR0690,C0690,Credit
CR0691,C0691,Debit
CR0692,C0692,Credit
CR0693,C0693,Debit
CR0694,C0694,Credit
CR0695,C0695,Debit
CR0696,C0696,Credit
CR0697,C0697,Debit
CR0698,C0698,Credit
CR0699,C0699,Debit
CR0700,C0700,Credit
CR0701,C0701,Debit
CR0702,C0702,Credit
CR0703,C0703,Debit
CR0704,C0704,Credit
CR0705,C0705,Debit
CR0706,C0706,Credit
CR0707,C0707,Debit
CR0708,C0708,Credit
CR0709,C0709,Debit
CR0710,C0710,Credit
CR0711,C0711,Debit
CR0712,C0712,Credit
CR0713,C0713,Debit
CR0714,C0714,Credit
CR0715,C0715,Debit
CR0716,C0716,Credit
CR0717,C0717,Debit
CR0718,C0718,Credit
CR0719,C0719,Debit
CR0720,C0720,Credit
CR0721,C0721,Debit
CR0722,C0722,Credit
CR0723,C0723,Debit
CR0724,C0724,Credit
CR0725,C0725,Debit
CR0726,C0726,Credit
CR0727,C0727,Debit
CR0728,C0728,Credit
CR0729,C0729,Debit
CR0730,C0730,Credit
CR0731,C0731,Debit
CR0732,C0732,Credit
CR0733,C0733,Debit
CR0734,C0734,Credit
CR0735,C0735,Debit
CR0736,C0736,Credit
CR0737,C0737,Debit
CR0738,C0738,Credit
CR0739,C0739,Debit
CR0740,C0740,Credit
CR0741,C0741,Debit
CR0742,C0742,Credit
CR0743,C0743,Debit
CR0744,C0744,Credit
CR0745,C0745,Debit
CR0746,C0746,Credit
CR0747,C0747,Debit
CR0748,C0748,Credit
CR0749,C0749,Debit
CR0750,C0750,Credit
CR0751,C0751,Debit
CR0752,C0752,Credit
CR0753,C0753,Debit
CR0754,C0754,Credit
CR0755,C0755,Debit
CR0756,C0756,Credit
CR0757,C0757,Debit
CR0758,C0758,Credit
CR0759,C0759,Debit
CR0760,C0760,Credit
CR0761,C0761,Debit
CR0762,C0762,Credit
CR0763,C0763,Debit
CR0764,C0764,Credit
CR0765,C0765,Debit
CR0766,C0766,Credit
CR0767,C0767,Debit
CR0768,C0768,Credit
CR0769,C0769,Debit
CR0770,C0770,Credit
CR0771,C0771,Debit
CR0772,C0772,Credit
CR0773,C0773,Debit
CR0774,C0774,Credit
CR0775,C0775,Debit
CR0776,C0776,Credit
CR0777,C0777,Debit
CR0778,C0778,Credit
CR0779,C0779,Debit
CR0780,C0780,Credit
CR0781,C0781,Debit
CR0782,C0782,Credit
CR0783,C0783,Debit
CR0784,C0784,Credit
CR0785,C0785,Debit
CR0786,C0786,Credit
CR0787,C0787,Debit
CR0788,C0788,Credit
CR0789,C0789,Debit
CR0790,C0790,Credit
CR0791,C0791,Debit
CR0792,C0792,Credit
CR0793,C0793,Debit
CR0794,C0794,Credit
CR0795,C0795,Debit
CR0796,C0796,Credit
CR0797,C0797,Debit
CR0798,C0798,Credit
CR0799,C0799,Debit
CR0800,C0800,Credit
CR0801,C0801,Debit
CR0802,C0802,Credit
CR0803,C0803,Debit
CR0804,C0804,Credit
CR0805,C0805,Debit
CR0806,C0806,Credit
CR0807,C0807,Debit
CR0808,C0808,Credit
CR0809,C0809,Debit
CR0810,C0810,Credit
CR0811,C0811,Debit
CR0812,C0812,Credit
CR0813,C0813,Debit
CR0814,C0814,Credit
CR0815,C0815,Debit
CR0816,C0816,Credit
CR0817,C0817,Debit
CR0818,C0818,Credit
CR0819,C0819,Debit
CR0820,C0820,Credit
CR0821,C0821,Debit
CR0822,C0822,Credit
CR0823,C0823,Debit
CR0824,C0824,Credit
CR0825,C0825,Debit
CR0826,C0826,Credit
CR0827,C0827,Debit
CR0828,C0828,Credit
CR0829,C0829,Debit
CR0830,C0830,Credit
CR0831,C0831,Debit
CR0832,C0832,Credit
CR0833,C0833,Debit
CR0834,C0834,Credit
CR0835,C0835,Debit
CR0836,C0836,Credit
CR0837,C0837,Debit
CR0838,C0838,Credit
CR0839,C0839,Debit
CR0840,C0840,Credit
CR0841,C0841,Debit
CR0842,C0842,Credit
CR0843,C0843,Debit
CR0844,C0844,Credit
CR0845,C0845,Debit
CR0846,C0846,Credit
CR0847,C0847,Debit
CR0848,C0848,Credit
CR0849,C0849,Debit
CR0850,C0850,Credit
CR0851,C0851,Debit
CR0852,C0852,Credit
CR0853,C0853,Debit
CR0854,C0854,Credit
CR0855,C0855,Debit
CR0856,C0856,Credit
CR0857,C0857,Debit
CR0858,C0858,Credit
CR0859,C0859,Debit
CR0860,C0860,Credit
CR0861,C0861,Debit
CR0862,C0862,Credit
CR0863,C0863,Debit
CR0864,C0864,Credit
CR0865,C0865,Debit
CR0866,C0866,Credit
CR0867,C0867,Debit
CR0868,C0868,Credit
CR0869,C0869,Debit
CR0870,C0870,Credit
CR0871,C0871,Debit
CR0872,C0872,Credit
CR0873,C0873,Debit
CR0874,C0874,Credit
CR0875,C0875,Debit
CR0876,C0876,Credit
CR0877,C0877,Debit
CR0878,C0878,Credit
CR0879,C0879,Debit
CR0880,C0880,Credit
CR0881,C0881,Debit
CR0882,C0882,Credit
CR0883,C0883,Debit
CR0884,C0884,Credit
CR0885,C0885,Debit
CR0886,C0886,Credit
CR0887,C0887,Debit
CR0888,C0888,Credit
CR0889,C0889,Debit
CR0890,C0890,Credit
CR0891,C0891,Debit
CR0892,C0892,Credit
CR0893,C0893,Debit
CR0894,C0894,Credit
CR0895,C0895,Debit
CR0896,C0896,Credit
CR0897,C0897,Debit
CR0898,C0898,Credit
CR0899,C0899,Debit
CR0900,C0900,Credit
CR0901,C0901,Debit
CR0902,C0902,Credit
CR0903,C0903,Debit
CR0904,C0904,Credit
CR0905,C0905,Debit
CR0906,C0906,Credit
CR0907,C0907,Debit
CR0908,C0908,Credit
CR0909,C0909,Debit
CR0910,C0910,Credit
CR0911,C0911,Debit
CR0912,C0912,Credit
CR0913,C0913,Debit
CR0914,C0914,Credit
CR0915,C0915,Debit
CR0916,C0916,Credit
CR0917,C0917,Debit
CR0918,C0918,Credit
CR0919,C0919,Debit
CR0920,C0920,Credit
CR0921,C0921,Debit
CR0922,C0922,Credit
CR0923,C0923,Debit
CR0924,C0924,Credit
CR0925,C0925,Debit
CR0926,C0926,Credit
CR0927,C0927,Debit
CR0928,C0928,Credit
CR0929,C0929,Debit
CR0930,C0930,Credit
CR0931,C0931,Debit
CR0932,C0932,Credit
CR0933,C0933,Debit
CR0934,C0934,Credit
CR0935,C0935,Debit
CR0936,C0936,Credit
CR0937,C0937,Debit
CR0938,C0938,Credit
CR0939,C0939,Debit
CR0940,C0940,Credit
CR0941,C0941,Debit
CR0942,C0942,Credit
CR0943,C0943,Debit
CR0944,C0944,Credit
CR0945,C0945,Debit
CR0946,C0946,Credit
CR0947,C0947,Debit
CR0948,C0948,Credit
CR0949,C0949,Debit
CR0950,C0950,Credit
CR0951,C0951,Debit
CR0952,C0952,Credit
CR0953,C0953,Debit
CR0954,C0954,Credit
CR0955,C0955,Debit
CR0956,C0956,Credit
CR0957,C0957,Debit
CR0958,C0958,Credit
CR0959,C0959,Debit
CR0960,C0960,Credit
CR0961,C0961,Debit
CR0962,C0962,Credit
CR0963,C0963,Debit
CR0964,C0964,Credit
CR0965,C0965,Debit
CR0966,C0966,Credit
CR0967,C0967,Debit
CR0968,C0968,Credit
CR0969,C0969,Debit
CR0970,C0970,Credit
CR0971,C0971,Debit
CR0972,C0972,Credit
CR0973,C0973,Debit
CR0974,C0974,Credit
CR0975,C0975,Debit
CR0976,C0976,Credit
CR0977,C0977,Debit
CR0978,C0978,Credit
CR0979,C0979,Debit
CR0980,C0980,Credit
CR0981,C0981,Debit
CR0982,C0982,Credit
CR0983,C0983,Debit
CR0984,C0984,Credit
CR0985,C0985,Debit
CR0986,C0986,Credit
CR0987,C0987,Debit
CR0988,C0988,Credit
CR0989,C0989,Debit
CR0990,C0990,Credit
CR0991,C0991,Debit
CR0992,C0992,Credit
CR0993,C0993,Debit
CR0994,C0994,Credit
CR0995,C0995,Debit
CR0996,C0996,Credit
CR0997,C0997,Debit
CR0998,C0998,Credit
CR0999,C0999,Debit
CR1000,C1000,Credit
