Txn_ID,Account_ID,Amount,Merchant
T00069,A0975,8900,Zomato
T00070,A0629,2442,Myntra
T00071,A0566,34098,Zomato
T00072,A0388,6708,Flipkart
T00073,A0104,47714,Flipkart
T00074,A0318,39241,Amazon
T00075,A0256,2543,Swiggy
T00076,A0875,46116,Myntra
T00077,A0582,45790,Flipkart
T00078,A0565,464,Swiggy
T00079,A0554,32543,Swiggy
T00080,A0569,3734,Swiggy
T00081,A0730,8303,Zomato
T00082,A0192,38304,Swiggy
T00083,A0416,38325,Swiggy
T00084,A0391,25557,Amazon
T00085,A0092,20999,Flipkart
T00086,A0052,12810,Zomato
T00087,A0355,12057,Flipkart
T00088,A0711,5853,Zomato
T00089,A0488,2055,Amazon
T00090,A0995,13958,Amazon
T00091,A0906,30408,Myntra
T00092,A0518,16490,Flipkart
T00093,A0535,25133,Amazon
T00094,A0712,17511,Zomato
T00095,A1000,44900,Zomato
T00096,A0060,38224,Zomato
T00097,A0411,261,Zomato
T00098,A0300,14356,Amazon
T00099,A0571,45423,Myntra
T00100,A0922,41387,Flipkart
T00101,A0577,167,Swiggy
T00102,A0421,47921,Flipkart
T00103,A0989,41560,Myntra
T00104,A0901,23913,Swiggy
T00105,A0907,40118,Zomato
T00106,A0622,5671,Flipkart
T00107,A0970,47714,Swiggy
T00108,A0340,29874,Zomato
T00109,A0406,34582,Zomato
T00110,A0378,49484,Zomato
T00111,A0048,2338,Zomato
T00112,A0806,26386,Zomato
T00113,A0761,47442,Amazon
T00114,A0942,6874,Myntra
T00115,A0082,23960,Myntra
T00116,A0906,37712,Flipkart
T00117,A0681,44839,Swiggy
T00118,A0023,5426,Myntra
T00119,A0676,23341,Amazon
T00120,A0580,15952,Zomato
T00121,A0171,29889,Zomato
T00122,A0145,47457,Zomato
T00123,A0346,24830,Zomato
T00124,A0018,14880,Flipkart
T00125,A0651,49701,Myntra
T00126,A0176,26692,Flipkart
T00127,A0603,36508,Flipkart
T00128,A0287,34951,Myntra
T00129,A0016,23363,Zomato
T00130,A0138,22349,Myntra
T00131,A0854,7609,Swiggy
T00132,A0365,31792,Zomato
T00133,A0953,26388,Swiggy
T00134,A0519,10826,Zomato
T00135,A0150,9130,Swiggy
T00136,A0489,20605,Flipkart
T00137,A0705,3294,Swiggy
T00138,A0338,3844,Flipkart
T00139,A0192,6594,Myntra
T00140,A0515,16238,Zomato
T00141,A0731,38418,Swiggy
T00142,A0386,22543,Swiggy
T00143,A0701,7041,Flipkart
T00144,A0405,18656,Flipkart
T00145,A0666,39066,Flipkart
T00146,A0171,20570,Amazon
T00147,A0152,29386,Amazon
T00148,A0028,22343,Flipkart
T00149,A0128,49218,Swiggy
T00150,A0713,36983,Amazon
T00151,A0614,48529,Flipkart
T00152,A0976,6785,Zomato
T00153,A0259,31296,Myntra
T00154,A0158,43609,Zomato
T00155,A0477,10143,Zomato
T00156,A0287,4942,Zomato
T00157,A0210,37868,Swiggy
T00158,A0950,42857,Myntra
T00159,A0617,40218,Swiggy
T00160,A0463,18635,Amazon
T00161,A0247,40331,Zomato
T00162,A0328,25087,Swiggy
T00163,A0483,11132,Flipkart
T00164,A0654,16069,Amazon
T00165,A0393,44026,Myntra
T00166,A0280,16704,Amazon
T00167,A0135,26279,Myntra
T00168,A0712,40986,Flipkart
T00169,A0732,16845,Amazon
T00170,A0349,30249,Amazon
T00171,A0514,18138,Flipkart
T00172,A0127,9093,Zomato
T00173,A0536,34017,Swiggy
T00174,A0387,27940,Swiggy
T00175,A0187,14438,Amazon
T00176,A0376,36543,Zomato
T00177,A0476,41409,Myntra
T00178,A0222,42880,Amazon
T00179,A0911,12603,Swiggy
T00180,A0470,5980,Flipkart
T00181,A0615,33625,Swiggy
T00182,A0223,45274,Swiggy
T00183,A0087,27147,Flipkart
T00184,A0221,8452,Zomato
T00185,A0662,9058,Zomato
T00186,A0404,47932,Myntra
T00187,A0331,23071,Zomato
T00188,A0136,40887,Myntra
T00189,A0328,40434,Flipkart
T00190,A0405,36175,Myntra
T00191,A0634,49671,Zomato
T00192,A0205,16951,Swiggy
T00193,A0723,13912,Zomato
T00194,A0885,16992,Swiggy
T00195,A0746,23092,Myntra
T00196,A0508,22308,Zomato
T00197,A0837,44004,Myntra
T00198,A0336,2082,Amazon
T00199,A0070,4772,Swiggy
T00200,A0714,7359,Myntra
T00201,A0226,14722,Flipkart
T00202,A0999,10600,Amazon
T00203,A0601,23862,Flipkart
T00204,A0680,46192,Zomato
T00205,A0304,34435,Flipkart
T00206,A0378,25246,Myntra
T00207,A0442,16698,Swiggy
T00208,A0356,5181,Amazon
T00209,A0408,42404,Zomato
T00210,A0321,43044,Zomato
T00211,A0264,6322,Amazon
T00212,A0384,16344,Myntra
T00213,A0137,16023,Zomato
T00214,A0416,38874,Flipkart
T00215,A0684,9457,Swiggy
T00216,A0276,11835,Flipkart
T00217,A0627,45999,Myntra
T00218,A0830,41657,Zomato
T00219,A0514,48659,Flipkart
T00220,A0246,8174,Swiggy
T00221,A0243,32543,Myntra
T00222,A0216,45437,Flipkart
T00223,A0530,18450,Swiggy
T00224,A0631,49264,Myntra
T00225,A0408,36576,Swiggy
T00226,A0121,14443,Flipkart
T00227,A0881,22860,Zomato
T00228,A0405,43228,Flipkart
T00229,A0567,41928,Swiggy
T00230,A0917,34182,Myntra
T00231,A0023,38581,Myntra
T00232,A0627,31964,Zomato
T00233,A0275,39401,Flipkart
T00234,A0404,44393,Flipkart
T00235,A0472,24342,Amazon
T00236,A0877,13317,Amazon
T00237,A0570,35567,Zomato
T00238,A0511,44638,Myntra
T00239,A0257,30024,Myntra
T00240,A0076,12470,Zomato
T00241,A0752,45204,Amazon
T00242,A0698,23506,Swiggy
T00243,A0877,28030,Flipkart
T00244,A0471,46364,Flipkart
T00245,A0027,10295,Swiggy
T00246,A0032,41701,Myntra
T00247,A0498,8741,Swiggy
T00248,A0085,9434,Myntra
T00249,A0549,8959,Zomato
T00250,A0940,17598,Myntra
T00251,A0737,10146,Swiggy
T00252,A0162,11869,Swiggy
T00253,A0555,12158,Flipkart
T00254,A0772,23618,Zomato
T00255,A0355,24414,Amazon
T00256,A0595,29211,Myntra
T00257,A0559,10035,Myntra
T00258,A0958,25212,Amazon
T00259,A0199,17992,Amazon
T00260,A0049,10014,Swiggy
T00261,A0208,40080,Zomato
T00262,A0664,32162,Swiggy
T00263,A0338,16310,Swiggy
T00264,A0494,13791,Amazon
T00265,A0468,29175,Flipkart
T00266,A0982,45068,Myntra
T00267,A0916,33016,Flipkart
T00268,A0506,16733,Amazon
T00269,A0794,18862,Flipkart
T00270,A0532,49601,Myntra
T00271,A0169,21502,Amazon
T00272,A0352,15750,Zomato
T00273,A0963,45495,Amazon
T00274,A0302,3029,Myntra
T00275,A0907,33812,Flipkart
T00276,A0517,2491,Myntra
T00277,A0915,21278,Flipkart
T00278,A0105,15302,Swiggy
T00279,A0120,19051,Myntra
T00280,A0523,31859,Flipkart
T00281,A0393,31043,Swiggy
T00282,A0611,14524,Myntra
T00283,A0456,15793,Amazon
T00284,A0378,32326,Myntra
T00285,A0970,34363,Myntra
T00286,A0008,30675,Amazon
T00287,A0876,13615,Zomato
T00288,A0450,10158,Zomato
T00289,A0880,19319,Swiggy
T00290,A0493,20054,Flipkart
T00291,A0900,12160,Zomato
T00292,A0053,41162,Amazon
T00293,A0425,39054,Amazon
T00294,A0901,48220,Amazon
T00295,A0038,39903,Myntra
T00296,A0093,34484,Amazon
T00297,A0637,31858,Amazon
T00298,A0969,43056,Amazon
T00299,A0819,13375,Amazon
T00300,A0465,25753,Swiggy
T00301,A0421,4142,Zomato
T00302,A0241,10741,Zomato
T00303,A0583,37950,Amazon
T00304,A0674,29109,Amazon
T00305,A0418,5350,Amazon
T00306,A0988,49693,Myntra
T00307,A0224,22404,Swiggy
T00308,A0845,42354,Myntra
T00309,A0800,5872,Myntra
T00310,A0979,1763,Amazon
T00311,A0827,33617,Amazon
T00312,A0854,6272,Zomato
T00313,A0007,43759,Zomato
T00314,A0524,13118,Swiggy
T00315,A0181,747,Amazon
T00316,A0690,41632,Swiggy
T00317,A0143,42974,Myntra
T00318,A0210,12317,Flipkart
T00319,A0399,38704,Amazon
T00320,A0996,37701,Zomato
T00321,A0796,47954,Zomato
T00322,A0840,36134,Swiggy
T00323,A0685,46709,Swiggy
T00324,A0088,12036,Flipkart
T00325,A0668,22947,Swiggy
T00326,A0081,48656,Zomato
T00327,A0677,35311,Zomato
T00328,A0029,19232,Zomato
T00329,A0075,2384,Myntra
T00330,A0386,21828,Swiggy
T00331,A0349,1508,Flipkart
T00332,A0283,36711,Myntra
T00333,A0881,506,Myntra
T00334,A0948,17113,Swiggy
T00335,A0552,27744,Myntra
T00336,A0487,1443,Amazon
T00337,A0028,31570,Amazon
T00338,A0394,40040,Amazon
T00339,A0419,2142,Zomato
T00340,A0648,49286,Swiggy
T00341,A0854,39378,Amazon
T00342,A0595,29366,Zomato
T00343,A0766,26355,Swiggy
T00344,A0136,39068,Swiggy
T00345,A0923,19755,Amazon
T00346,A0133,4525,Amazon
T00347,A0376,30139,Zomato
T00348,A0965,45923,Flipkart
T00349,A0181,1354,Zomato
T00350,A0041,31294,Amazon
T00351,A0808,17312,Swiggy
T00352,A0646,40136,Amazon
T00353,A0233,49428,Flipkart
T00354,A0846,39362,Zomato
T00355,A0688,12190,Amazon
T00356,A0092,19204,Swiggy
T00357,A0141,39576,Flipkart
T00358,A0565,29973,Zomato
T00359,A0781,28021,Swiggy
T00360,A0071,43120,Zomato
T00361,A0693,15432,Myntra
T00362,A0229,19429,Flipkart
T00363,A0043,2801,Flipkart
T00364,A0312,33208,Amazon
T00365,A0467,39067,Amazon
T00366,A0112,6658,Flipkart
T00367,A0493,17392,Myntra
T00368,A0749,21168,Zomato
T00369,A0519,27856,Swiggy
T00370,A0783,30112,Myntra
T00371,A0626,39956,Swiggy
T00372,A0677,5389,Amazon
T00373,A0337,41943,Zomato
T00374,A0545,1936,Zomato
T00375,A0478,22555,Flipkart
T00376,A0121,29164,Amazon
T00377,A0328,36628,Amazon
T00378,A0091,6999,Zomato
T00379,A0169,23258,Myntra
T00380,A0778,36273,Flipkart
T00381,A0660,22749,Swiggy
T00382,A0076,3896,Zomato
T00383,A0230,1797,Zomato
T00384,A0607,34020,Flipkart
T00385,A0853,28080,Swiggy
T00386,A0959,41611,Myntra
T00387,A0689,34349,Amazon
T00388,A0801,28774,Flipkart
T00389,A0505,13621,Swiggy
T00390,A0081,6841,Flipkart
T00391,A0195,12208,Myntra
T00392,A0031,2223,Swiggy
T00393,A0704,32376,Myntra
T00394,A0274,40411,Amazon
T00395,A0942,46059,Myntra
T00396,A0214,16674,Zomato
T00397,A0363,40862,Myntra
T00398,A0417,17090,Flipkart
T00399,A0104,3151,Flipkart
T00400,A0865,31580,Swiggy
T00401,A0149,42196,Myntra
T00402,A0726,34016,Amazon
T00403,A0503,20511,Zomato
T00404,A0608,8309,Swiggy
T00405,A0774,40833,Flipkart
T00406,A0698,15214,Myntra
T00407,A0280,37012,Myntra
T00408,A0628,11985,Myntra
T00409,A0702,26083,Flipkart
T00410,A0581,27307,Myntra
T00411,A0336,41514,Flipkart
T00412,A0219,37436,Myntra
T00413,A0364,19019,Zomato
T00414,A0545,46746,Swiggy
T00415,A0109,20961,Flipkart
T00416,A0228,36908,Myntra
T00417,A0134,10627,Swiggy
T00418,A0954,17946,Flipkart
T00419,A0304,14958,Zomato
T00420,A0050,47526,Zomato
T00421,A0280,39027,Myntra
T00422,A0077,37870,Amazon
T00423,A0705,45846,Myntra
T00424,A0757,37855,Swiggy
T00425,A0476,4736,Flipkart
T00426,A0885,18064,Flipkart
T00427,A0251,13479,Myntra
T00428,A0396,2371,Myntra
T00429,A0861,15365,Amazon
T00430,A0334,12996,Zomato
T00431,A0873,46400,Amazon
T00432,A0356,39148,Flipkart
T00433,A0389,4653,Swiggy
T00434,A0832,18086,Amazon
T00435,A0739,32231,Zomato
T00436,A0641,27273,Myntra
T00437,A0696,42744,Myntra
T00438,A0932,30880,Amazon
T00439,A0091,4761,Amazon
T00440,A0067,45307,Amazon
T00441,A0677,31358,Zomato
T00442,A0979,14804,Myntra
T00443,A0580,19141,Swiggy
T00444,A0409,16437,Swiggy
T00445,A0996,36400,Amazon
T00446,A0152,13259,Flipkart
T00447,A0409,9516,Swiggy
T00448,A0079,1815,Flipkart
T00449,A0548,24569,Zomato
T00450,A0362,33670,Myntra
T00451,A0081,36421,Flipkart
T00452,A0790,3367,Swiggy
T00453,A0663,31212,Amazon
T00454,A0307,33958,Zomato
T00455,A0498,27272,Swiggy
T00456,A0689,15043,Myntra
T00457,A0240,30188,Myntra
T00458,A0271,22755,Zomato
T00459,A0726,25151,Swiggy
T00460,A0258,851,Flipkart
T00461,A0145,49487,Swiggy
T00462,A0614,32371,Amazon
T00463,A0294,17844,Flipkart
T00464,A0501,16703,Zomato
T00465,A0278,15655,Flipkart
T00466,A0705,31209,Amazon
T00467,A0399,13497,Myntra
T00468,A0158,40687,Myntra
T00469,A0621,23548,Zomato
T00470,A0134,46228,Flipkart
T00471,A0578,44409,Amazon
T00472,A0634,12233,Swiggy
T00473,A0249,27803,Zomato
T00474,A0531,47236,Myntra
T00475,A0398,16035,Zomato
T00476,A0548,8090,Flipkart
T00477,A0066,40320,Zomato
T00478,A0285,30255,Flipkart
T00479,A0444,37985,Flipkart
T00480,A0415,24472,Zomato
T00481,A0493,48868,Swiggy
T00482,A0397,12567,Myntra
T00483,A0336,49290,Amazon
T00484,A0327,13869,Myntra
T00485,A0257,26389,Zomato
T00486,A0686,2316,Myntra
T00487,A0199,6364,Myntra
T00488,A0222,16615,Myntra
T00489,A0049,46150,Flipkart
T00490,A0597,28719,Myntra
T00491,A0968,39922,Amazon
T00492,A0753,21378,Amazon
T00493,A0701,41129,Swiggy
T00494,A0696,44336,Zomato
T00495,A0593,5629,Flipkart
T00496,A0625,12207,Amazon
T00497,A0302,16715,Swiggy
T00498,A0600,12050,Amazon
T00499,A0184,15557,Zomato
T00500,A0219,46466,Swiggy
T00501,A0791,37456,Swiggy
T00502,A0037,9433,Amazon
T00503,A0891,12289,Myntra
T00504,A0011,16294,Swiggy
T00505,A0788,1767,Amazon
T00506,A0076,12942,Myntra
T00507,A0110,8873,Flipkart
T00508,A0856,41511,Myntra
T00509,A0435,26663,Zomato
T00510,A0319,17007,Amazon
T00511,A0761,3823,Flipkart
T00512,A0392,46335,Swiggy
T00513,A0002,25136,Myntra
T00514,A0052,41784,Amazon
T00515,A0045,46001,Flipkart
T00516,A0075,39258,Amazon
T00517,A0903,8841,Myntra
T00518,A0184,19944,Zomato
T00519,A0023,515,Myntra
T00520,A0615,40192,Zomato
T00521,A0404,28083,Amazon
T00522,A0807,5063,Swiggy
T00523,A0513,46211,Myntra
T00524,A0220,35333,Swiggy
T00525,A0917,24870,Amazon
T00526,A0983,32728,Swiggy
T00527,A0559,14202,Myntra
T00528,A0133,22313,Flipkart
T00529,A0938,6812,Zomato
T00530,A0149,16331,Amazon
T00531,A0391,12473,Myntra
T00532,A0089,5470,Swiggy
T00533,A0408,20009,Zomato
T00534,A0843,24278,Swiggy
T00535,A0286,22099,Swiggy
T00536,A0726,26341,Zomato
T00537,A0816,2630,Amazon
T00538,A0029,36505,Amazon
T00539,A0988,21715,Myntra
T00540,A0102,49940,Swiggy
T00541,A0928,5974,Flipkart
T00542,A0245,34568,Zomato
T00543,A0722,27873,Amazon
T00544,A0227,1158,Amazon
T00545,A0086,927,Myntra
T00546,A0445,41097,Amazon
T00547,A0990,21357,Amazon
T00548,A0743,41955,Swiggy
T00549,A0291,34228,Amazon
T00550,A0244,7707,Amazon
T00551,A0862,43436,Myntra
T00552,A0037,30045,Zomato
T00553,A0386,48232,Flipkart
T00554,A0851,26259,Myntra
T00555,A0106,11189,Zomato
T00556,A0563,5881,Swiggy
T00557,A0547,1028,Amazon
T00558,A0705,29060,Zomato
T00559,A0757,34403,Flipkart
T00560,A0055,41414,Zomato
T00561,A0687,44065,Amazon
T00562,A0828,37081,Swiggy
T00563,A0905,8703,Zomato
T00564,A0197,32198,Myntra
T00565,A0050,4986,Myntra
T00566,A0435,32454,Flipkart
T00567,A0724,41256,Swiggy
T00568,A0768,35911,Amazon
T00569,A0700,46471,Flipkart
T00570,A0587,12264,Swiggy
T00571,A0854,16486,Flipkart
T00572,A0846,38971,Amazon
T00573,A0703,16131,Flipkart
T00574,A0577,33681,Swiggy
T00575,A0013,47608,Zomato
T00576,A0036,25264,Myntra
T00577,A0477,25920,Flipkart
T00578,A0340,465,Myntra
T00579,A0581,15353,Zomato
T00580,A0196,32383,Swiggy
T00581,A0835,10850,Flipkart
T00582,A0892,14807,Swiggy
T00583,A0705,5683,Flipkart
T00584,A0067,36827,Zomato
T00585,A0765,22891,Flipkart
T00586,A0828,47992,Flipkart
T00587,A0032,4689,Myntra
T00588,A0815,31723,Amazon
T00589,A0276,10282,Amazon
T00590,A0800,42574,Amazon
T00591,A0446,16142,Zomato
T00592,A0722,27355,Myntra
T00593,A0727,11819,Myntra
T00594,A0690,12067,Zomato
T00595,A0145,8306,Amazon
T00596,A0601,1856,Zomato
T00597,A0255,9050,Swiggy
T00598,A0282,18417,Flipkart
T00599,A0974,8457,Zomato
T00600,A0609,49977,Swiggy
T00601,A0775,20488,Myntra
T00602,A0782,12270,Flipkart
T00603,A0708,48239,Myntra
T00604,A0161,47634,Swiggy
T00605,A0269,7958,Myntra
T00606,A0538,2590,Swiggy
T00607,A0996,32120,Flipkart
T00608,A0929,42323,Zomato
T00609,A0179,10391,Zomato
T00610,A0512,38919,Swiggy
T00611,A0643,45871,Flipkart
T00612,A0951,3014,Swiggy
T00613,A0175,1595,Amazon
T00614,A0866,19741,Swiggy
T00615,A0352,15508,Flipkart
T00616,A0262,25837,Flipkart
T00617,A0896,47685,Flipkart
T00618,A0619,11280,Swiggy
T00619,A0056,12589,Zomato
T00620,A0231,34196,Zomato
T00621,A0986,10338,Amazon
T00622,A0778,33587,Flipkart
T00623,A0101,45593,Flipkart
T00624,A0022,10700,Amazon
T00625,A0112,8711,Myntra
T00626,A0389,20865,Flipkart
T00627,A0982,2921,Myntra
T00628,A0838,46314,Swiggy
T00629,A0509,6030,Flipkart
T00630,A0211,24942,Flipkart
T00631,A0059,25993,Zomato
T00632,A0348,23013,Myntra
T00633,A0529,26695,Myntra
T00634,A0197,48050,Zomato
T00635,A0248,39584,Myntra
T00636,A0496,27921,Swiggy
T00637,A0446,39923,Amazon
T00638,A0700,5788,Swiggy
T00639,A0633,34889,Amazon
T00640,A0828,44258,Amazon
T00641,A0232,16597,Swiggy
T00642,A0038,25457,Myntra
T00643,A0850,6841,Amazon
T00644,A0503,30534,Flipkart
T00645,A0174,22356,Zomato
T00646,A0071,48164,Swiggy
T00647,A0454,20043,Amazon
T00648,A0004,13570,Flipkart
T00649,A0749,49065,Flipkart
T00650,A0723,30312,Myntra
T00651,A0641,31405,Zomato
T00652,A0451,10980,Flipkart
T00653,A0169,28833,Flipkart
T00654,A0896,14328,Zomato
T00655,A0373,7215,Myntra
T00656,A0474,7038,Amazon
T00657,A0799,27106,Myntra
T00658,A0071,17306,Myntra
T00659,A0062,25973,Flipkart
T00660,A0987,16493,Zomato
T00661,A0195,28204,Amazon
T00662,A0197,33588,Swiggy
T00663,A0008,42795,Myntra
T00664,A0323,41507,Flipkart
T00665,A0665,10718,Amazon
T00666,A0784,46298,Amazon
T00667,A0300,31352,Swiggy
T00668,A0813,48354,Amazon
T00669,A0723,38447,Flipkart
T00670,A0025,13358,Myntra
T00671,A0798,48389,Swiggy
T00672,A0899,41491,Myntra
T00673,A0102,25381,Zomato
T00674,A0598,6298,Zomato
T00675,A0889,3850,Myntra
T00676,A0153,41480,Amazon
T00677,A0713,12629,Flipkart
T00678,A0026,44270,Amazon
T00679,A0154,45053,Amazon
T00680,A0255,4859,Myntra
T00681,A0949,40041,Flipkart
T00682,A0986,44054,Swiggy
T00683,A0272,8146,Swiggy
T00684,A0531,24838,Myntra
T00685,A0196,30850,Zomato
T00686,A0710,41795,Myntra
T00687,A0026,49186,Flipkart
T00688,A0690,22612,Zomato
T00689,A0728,6195,Zomato
T00690,A0235,44020,Amazon
T00691,A0728,18371,Flipkart
T00692,A0420,13957,Swiggy
T00693,A0260,12095,Flipkart
T00694,A0274,17400,Zomato
T00695,A0639,5524,Zomato
T00696,A0140,42286,Swiggy
T00697,A0193,44273,Flipkart
T00698,A0897,17042,Myntra
T00699,A0931,7802,Flipkart
T00700,A0635,42348,Amazon
T00701,A0965,23321,Flipkart
T00702,A0557,32246,Myntra
T00703,A0093,38894,Zomato
T00704,A0550,11526,Swiggy
T00705,A0802,31049,Flipkart
T00706,A0289,35609,Swiggy
T00707,A0960,14408,Amazon
T00708,A0729,13367,Swiggy
T00709,A0342,15760,Myntra
T00710,A0608,9885,Myntra
T00711,A0092,8562,Myntra
T00712,A0315,21097,Zomato
T00713,A0304,33324,Flipkart
T00714,A0042,7860,Myntra
T00715,A0195,25359,Flipkart
T00716,A0674,47286,Zomato
T00717,A0746,49167,Amazon
T00718,A0441,46340,Swiggy
T00719,A0013,508,Flipkart
T00720,A0338,25768,Amazon
T00721,A0682,43875,Amazon
T00722,A0546,1831,Swiggy
T00723,A0550,4235,Zomato
T00724,A0061,49433,Swiggy
T00725,A0058,21965,Swiggy
T00726,A0471,1029,Amazon
T00727,A0408,23697,Zomato
T00728,A0667,4558,Swiggy
T00729,A0051,7641,Myntra
T00730,A0570,45428,Myntra
T00731,A0274,8232,Flipkart
T00732,A0183,9991,Zomato
T00733,A0900,3201,Swiggy
T00734,A0075,49174,Myntra
T00735,A0294,14175,Amazon
T00736,A0482,1065,Zomato
T00737,A0978,12814,Zomato
T00738,A0513,31059,Zomato
T00739,A0846,19940,Swiggy
T00740,A0467,21074,Myntra
T00741,A0517,27987,Amazon
T00742,A0246,24947,Myntra
T00743,A0690,21951,Myntra
T00744,A0568,15964,Swiggy
T00745,A0819,26758,Amazon
T00746,A0252,26211,Flipkart
T00747,A0891,8970,Flipkart
T00748,A0695,23171,Zomato
T00749,A0792,44169,Myntra
T00750,A0458,8329,Zomato
T00751,A0902,29625,Myntra
T00752,A0872,32497,Flipkart
T00753,A0708,24587,Amazon
T00754,A0039,40641,Amazon
T00755,A0993,22745,Myntra
T00756,A0836,27672,Flipkart
T00757,A0472,44403,Zomato
T00758,A0899,49145,Zomato
T00759,A0674,25625,Flipkart
T00760,A0059,36614,Myntra
T00761,A0341,32372,Myntra
T00762,A0754,49308,Amazon
T00763,A0489,9679,Myntra
T00764,A0310,45750,Swiggy
T00765,A0751,43136,Zomato
T00766,A0453,5273,Swiggy
T00767,A0334,10873,Myntra
T00768,A0918,37314,Swiggy
T00769,A0452,17547,Flipkart
T00770,A0894,11313,Myntra
T00771,A0773,44224,Amazon
T00772,A0179,10465,Myntra
T00773,A0692,42402,Zomato
T00774,A0630,8558,Zomato
T00775,A0687,34282,Swiggy
T00776,A0493,8415,Swiggy
T00777,A0090,20683,Zomato
T00778,A0232,26497,Amazon
T00779,A0287,42009,Flipkart
T00780,A0063,46091,Zomato
T00781,A0954,48313,Amazon
T00782,A0081,10181,Swiggy
T00783,A0917,8982,Swiggy
T00784,A0323,28183,Zomato
T00785,A0934,25949,Myntra
T00786,A0209,6084,Swiggy
T00787,A0582,22159,Flipkart
T00788,A0518,46372,Swiggy
T00789,A0461,19587,Flipkart
T00790,A0052,9561,Amazon
T00791,A0065,9346,Flipkart
T00792,A0896,48384,Zomato
T00793,A0475,48657,Zomato
T00794,A0043,25872,Flipkart
T00795,A0926,31458,Myntra
T00796,A0754,10219,Zomato
T00797,A0907,31735,Myntra
T00798,A0386,546,Swiggy
T00799,A0188,18549,Myntra
T00800,A0860,26028,Zomato
T00801,A0028,9992,Flipkart
T00802,A0120,12479,Amazon
T00803,A0237,15417,Flipkart
T00804,A0941,28721,Flipkart
T00805,A0147,33021,Swiggy
T00806,A0741,16515,Zomato
T00807,A0858,37817,Swiggy
T00808,A0463,23684,Swiggy
T00809,A0730,49574,Zomato
T00810,A0769,16614,Flipkart
T00811,A0761,641,Zomato
T00812,A0263,43308,Flipkart
T00813,A0682,36636,Zomato
T00814,A0433,10761,Flipkart
T00815,A0527,2001,Swiggy
T00816,A0854,1081,Flipkart
T00817,A0083,13120,Zomato
T00818,A0513,13475,Flipkart
T00819,A0837,29130,Amazon
T00820,A0214,9020,Myntra
T00821,A0613,47152,Zomato
T00822,A0449,31714,Amazon
T00823,A0213,31937,Myntra
T00824,A0389,21844,Zomato
T00825,A0104,8385,Flipkart
T00826,A0516,37878,Swiggy
T00827,A0724,36760,Flipkart
T00828,A0797,20612,Myntra
T00829,A0418,22249,Amazon
T00830,A0086,34640,Swiggy
T00831,A0102,41939,Flipkart
T00832,A0270,38962,Flipkart
T00833,A0683,25377,Amazon
T00834,A0453,19715,Myntra
T00835,A0857,48492,Myntra
T00836,A0452,29604,Zomato
T00837,A0056,43084,Flipkart
T00838,A0201,48612,Myntra
T00839,A0534,38075,Flipkart
T00840,A0757,9157,Swiggy
T00841,A0789,19962,Swiggy
T00842,A0424,42966,Amazon
T00843,A0765,16822,Myntra
T00844,A0073,19002,Myntra
T00845,A0651,37906,Myntra
T00846,A0583,49975,Myntra
T00847,A0966,19287,Amazon
T00848,A0406,11904,Myntra
T00849,A0026,34528,Amazon
T00850,A0171,2620,Swiggy
T00851,A0030,15548,Flipkart
T00852,A1000,324,Swiggy
