Account_ID,Customer_ID,Account_Type,Status
A0070,C0070,Savings,Active
A0071,C0071,Current,Active
A0072,C0072,Savings,Active
A0073,C0073,Current,Active
A0074,C0074,Savings,Active
A0075,C0075,Current,Active
A0076,C0076,Savings,Active
A0077,C0077,Current,Active
A0078,C0078,Savings,Active
A0079,C0079,Current,Active
A0080,C0080,Savings,Active
A0081,C0081,Current,Active
A0082,C0082,Savings,Active
A0083,C0083,Current,Active
A0084,C0084,Savings,Active
A0085,C0085,Current,Active
A0086,C0086,Savings,Active
A0087,C0087,Current,Active
A0088,C0088,Savings,Active
A0089,C0089,Current,Active
A0090,C0090,Savings,Active
A0091,C0091,Current,Active
A0092,C0092,Savings,Active
A0093,C0093,Current,Active
A0094,C0094,Savings,Active
A0095,C0095,Current,Active
A0096,C0096,Savings,Active
A0097,C0097,Current,Active
A0098,C0098,Savings,Active
A0099,C0099,Current,Active
A0100,C0100,Savings,Active
A0101,C0101,Current,Active
A0102,C0102,Savings,Active
A0103,C0103,Current,Active
A0104,C0104,Savings,Active
A0105,C0105,Current,Active
A0106,C0106,Savings,Active
A0107,C0107,Current,Active
A0108,C0108,Savings,Active
A0109,C0109,Current,Active
A0110,C0110,Savings,Active
A0111,C0111,Current,Active
A0112,C0112,Savings,Active
A0113,C0113,Current,Active
A0114,C0114,Savings,Active
A0115,C0115,Current,Active
A0116,C0116,Savings,Active
A0117,C0117,Current,Active
A0118,C0118,Savings,Active
A0119,C0119,Current,Active
A0120,C0120,Savings,Active
A0121,C0121,Current,Active
A0122,C0122,Savings,Active
A0123,C0123,Current,Active
A0124,C0124,Savings,Active
A0125,C0125,Current,Active
A0126,C0126,Savings,Active
A0127,C0127,Current,Active
A0128,C0128,Savings,Active
A0129,C0129,Current,Active
A0130,C0130,Savings,Active
A0131,C0131,Current,Active
A0132,C0132,Savings,Active
A0133,C0133,Current,Active
A0134,C0134,Savings,Active
A0135,C0135,Current,Active
A0136,C0136,Savings,Active
A0137,C0137,Current,Active
A0138,C0138,Savings,Active
A0139,C0139,Current,Active
A0140,C0140,Savings,Active
A0141,C0141,Current,Active
A0142,C0142,Savings,Active
A0143,C0143,Current,Active
A0144,C0144,Savings,Active
A0145,C0145,Current,Active
A0146,C0146,Savings,Active
A0147,C0147,Current,Active
A0148,C0148,Savings,Active
A0149,C0149,Current,Active
A0150,C0150,Savings,Active
A0151,C0151,Current,Active
A0152,C0152,Savings,Active
A0153,C0153,Current,Active
A0154,C0154,Savings,Active
A0155,C0155,Current,Active
A0156,C0156,Savings,Active
A0157,C0157,Current,Active
A0158,C0158,Savings,Active
A0159,C0159,Current,Active
A0160,C0160,Savings,Active
A0161,C0161,Current,Active
A0162,C0162,Savings,Active
A0163,C0163,Current,Active
A0164,C0164,Savings,Active
A0165,C0165,Current,Active
A0166,C0166,Savings,Active
A0167,C0167,Current,Active
A0168,C0168,Savings,Active
A0169,C0169,Current,Active
A0170,C0170,Savings,Active
A0171,C0171,Current,Active
A0172,C0172,Savings,Active
A0173,C0173,Current,Active
A0174,C0174,Savings,Active
A0175,C0175,Current,Active
A0176,C0176,Savings,Active
A0177,C0177,Current,Active
A0178,C0178,Savings,Active
A0179,C0179,Current,Active
A0180,C0180,Savings,Active
A0181,C0181,Current,Active
A0182,C0182,Savings,Active
A0183,C0183,Current,Active
A0184,C0184,Savings,Active
A0185,C0185,Current,Active
A0186,C0186,Savings,Active
A0187,C0187,Current,Active
A0188,C0188,Savings,Active
A0189,C0189,Current,Active
A0190,C0190,Savings,Active
A0191,C0191,Current,Active
A0192,C0192,Savings,Active
A0193,C0193,Current,Active
A0194,C0194,Savings,Active
A0195,C0195,Current,Active
A0196,C0196,Savings,Active
A0197,C0197,Current,Active
A0198,C0198,Savings,Active
A0199,C0199,Current,Active
A0200,C0200,Savings,Active
A0201,C0201,Current,Active
A0202,C0202,Savings,Active
A0203,C0203,Current,Active
A0204,C0204,Savings,Active
A0205,C0205,Current,Active
A0206,C0206,Savings,Active
A0207,C0207,Current,Active
A0208,C0208,Savings,Active
A0209,C0209,Current,Active
A0210,C0210,Savings,Active
A0211,C0211,Current,Active
A0212,C0212,Savings,Active
A0213,C0213,Current,Active
A0214,C0214,Savings,Active
A0215,C0215,Current,Active
A0216,C0216,Savings,Active
A0217,C0217,Current,Active
A0218,C0218,Savings,Active
A0219,C0219,Current,Active
A0220,C0220,Savings,Active
A0221,C0221,Current,Active
A0222,C0222,Savings,Active
A0223,C0223,Current,Active
A0224,C0224,Savings,Active
A0225,C0225,Current,Active
A0226,C0226,Savings,Active
A0227,C0227,Current,Active
A0228,C0228,Savings,Active
A0229,C0229,Current,Active
A0230,C0230,Savings,Active
A0231,C0231,Current,Active
A0232,C0232,Savings,Active
A0233,C0233,Current,Active
A0234,C0234,Savings,Active
A0235,C0235,Current,Active
A0236,C0236,Savings,Active
A0237,C0237,Current,Active
A0238,C0238,Savings,Active
A0239,C0239,Current,Active
A0240,C0240,Savings,Active
A0241,C0241,Current,Active
A0242,C0242,Savings,Active
A0243,C0243,Current,Active
A0244,C0244,Savings,Active
A0245,C0245,Current,Active
A0246,C0246,Savings,Active
A0247,C0247,Current,Active
A0248,C0248,Savings,Active
A0249,C0249,Current,Active
A0250,C0250,Savings,Active
A0251,C0251,Current,Active
A0252,C0252,Savings,Active
A0253,C0253,Current,Active
A0254,C0254,Savings,Active
A0255,C0255,Current,Active
A0256,C0256,Savings,Active
A0257,C0257,Current,Active
A0258,C0258,Savings,Active
A0259,C0259,Current,Active
A0260,C0260,Savings,Active
A0261,C0261,Current,Active
A0262,C0262,Savings,Active
A0263,C0263,Current,Active
A0264,C0264,Savings,Active
A0265,C0265,Current,Active
A0266,C0266,Savings,Active
A0267,C0267,Current,Active
A0268,C0268,Savings,Active
A0269,C0269,Current,Active
A0270,C0270,Savings,Active
A0271,C0271,Current,Active
A0272,C0272,Savings,Active
A0273,C0273,Current,Active
A0274,C0274,Savings,Active
A0275,C0275,Current,Active
A0276,C0276,Savings,Active
A0277,C0277,Current,Active
A0278,C0278,Savings,Active
A0279,C0279,Current,Active
A0280,C0280,Savings,Active
A0281,C0281,Current,Active
A0282,C0282,Savings,Active
A0283,C0283,Current,Active
A0284,C0284,Savings,Active
A0285,C0285,Current,Active
A0286,C0286,Savings,Active
A0287,C0287,Current,Active
A0288,C0288,Savings,Active
A0289,C0289,Current,Active
A0290,C0290,Savings,Active
A0291,C0291,Current,Active
A0292,C0292,Savings,Active
A0293,C0293,Current,Active
A0294,C0294,Savings,Active
A0295,C0295,Current,Active
A0296,C0296,Savings,Active
A0297,C0297,Current,Active
A0298,C0298,Savings,Active
A0299,C0299,Current,Active
A0300,C0300,Savings,Active
A0301,C0301,Current,Active
A0302,C0302,Savings,Active
A0303,C0303,Current,Active
A0304,C0304,Savings,Active
A0305,C0305,Current,Active
A0306,C0306,Savings,Active
A0307,C0307,Current,Active
A0308,C0308,Savings,Active
A0309,C0309,Current,Active
A0310,C0310,Savings,Active
A0311,C0311,Current,Active
A0312,C0312,Savings,Active
A0313,C0313,Current,Active
A0314,C0314,Savings,Active
A0315,C0315,Current,Active
A0316,C0316,Savings,Active
A0317,C0317,Current,Active
A0318,C0318,Savings,Active
A0319,C0319,Current,Active
A0320,C0320,Savings,Active
A0321,C0321,Current,Active
A0322,C0322,Savings,Active
A0323,C0323,Current,Active
A0324,C0324,Savings,Active
A0325,C0325,Current,Active
A0326,C0326,Savings,Active
A0327,C0327,Current,Active
A0328,C0328,Savings,Active
A0329,C0329,Current,Active
A0330,C0330,Savings,Active
A0331,C0331,Current,Active
A0332,C0332,Savings,Active
A0333,C0333,Current,Active
A0334,C0334,Savings,Active
A0335,C0335,Current,Active
A0336,C0336,Savings,Active
A0337,C0337,Current,Active
A0338,C0338,Savings,Active
A0339,C0339,Current,Active
A0340,C0340,Savings,Active
A0341,C0341,Current,Active
A0342,C0342,Savings,Active
A0343,C0343,Current,Active
A0344,C0344,Savings,Active
A0345,C0345,Current,Active
A0346,C0346,Savings,Active
A0347,C0347,Current,Active
A0348,C0348,Savings,Active
A0349,C0349,Current,Active
A0350,C0350,Savings,Active
A0351,C0351,Current,Active
A0352,C0352,Savings,Active
A0353,C0353,Current,Active
A0354,C0354,Savings,Active
A0355,C0355,Current,Active
A0356,C0356,Savings,Active
A0357,C0357,Current,Active
A0358,C0358,Savings,Active
A0359,C0359,Current,Active
A0360,C0360,Savings,Active
A0361,C0361,Current,Active
A0362,C0362,Savings,Active
A0363,C0363,Current,Active
A0364,C0364,Savings,Active
A0365,C0365,Current,Active
A0366,C0366,Savings,Active
A0367,C0367,Current,Active
A0368,C0368,Savings,Active
A0369,C0369,Current,Active
A0370,C0370,Savings,Active
A0371,C0371,Current,Active
A0372,C0372,Savings,Active
A0373,C0373,Current,Active
A0374,C0374,Savings,Active
A0375,C0375,Current,Active
A0376,C0376,Savings,Active
A0377,C0377,Current,Active
A0378,C0378,Savings,Active
A0379,C0379,Current,Active
A0380,C0380,Savings,Active
A0381,C0381,Current,Active
A0382,C0382,Savings,Active
A0383,C0383,Current,Active
A0384,C0384,Savings,Active
A0385,C0385,Current,Active
A0386,C0386,Savings,Active
A0387,C0387,Current,Active
A0388,C0388,Savings,Active
A0389,C0389,Current,Active
A0390,C0390,Savings,Active
A0391,C0391,Current,Active
A0392,C0392,Savings,Active
A0393,C0393,Current,Active
A0394,C0394,Savings,Active
A0395,C0395,Current,Active
A0396,C0396,Savings,Active
A0397,C0397,Current,Active
A0398,C0398,Savings,Active
A0399,C0399,Current,Active
A0400,C0400,Savings,Active
A0401,C0401,Current,Active
A0402,C0402,Savings,Active
A0403,C0403,Current,Active
A0404,C0404,Savings,Active
A0405,C0405,Current,Active
A0406,C0406,Savings,Active
A0407,C0407,Current,Active
A0408,C0408,Savings,Active
A0409,C0409,Current,Active
A0410,C0410,Savings,Active
A0411,C0411,Current,Active
A0412,C0412,Savings,Active
A0413,C0413,Current,Active
A0414,C0414,Savings,Active
A0415,C0415,Current,Active
A0416,C0416,Savings,Active
A0417,C0417,Current,Active
A0418,C0418,Savings,Active
A0419,C0419,Current,Active
A0420,C0420,Savings,Active
A0421,C0421,Current,Active
A0422,C0422,Savings,Active
A0423,C0423,Current,Active
A0424,C0424,Savings,Active
A0425,C0425,Current,Active
A0426,C0426,Savings,Active
A0427,C0427,Current,Active
A0428,C0428,Savings,Active
A0429,C0429,Current,Active
A0430,C0430,Savings,Active
A0431,C0431,Current,Active
A0432,C0432,Savings,Active
A0433,C0433,Current,Active
A0434,C0434,Savings,Active
A0435,C0435,Current,Active
A0436,C0436,Savings,Active
A0437,C0437,Current,Active
A0438,C0438,Savings,Active
A0439,C0439,Current,Active
A0440,C0440,Savings,Active
A0441,C0441,Current,Active
A0442,C0442,Savings,Active
A0443,C0443,Current,Active
A0444,C0444,Savings,Active
A0445,C0445,Current,Active
A0446,C0446,Savings,Active
A0447,C0447,Current,Active
A0448,C0448,Savings,Active
A0449,C0449,Current,Active
A0450,C0450,Savings,Active
A0451,C0451,Current,Active
A0452,C0452,Savings,Active
A0453,C0453,Current,Active
A0454,C0454,Savings,Active
A0455,C0455,Current,Active
A0456,C0456,Savings,Active
A0457,C0457,Current,Active
A0458,C0458,Savings,Active
A0459,C0459,Current,Active
A0460,C0460,Savings,Active
A0461,C0461,Current,Active
A0462,C0462,Savings,Active
A0463,C0463,Current,Active
A0464,C0464,Savings,Active
A0465,C0465,Current,Active
A0466,C0466,Savings,Active
A0467,C0467,Current,Active
A0468,C0468,Savings,Active
A0469,C0469,Current,Active
A0470,C0470,Savings,Active
A0471,C0471,Current,Active
A0472,C0472,Savings,Active
A0473,C0473,Current,Active
A0474,C0474,Savings,Active
A0475,C0475,Current,Active
A0476,C0476,Savings,Active
A0477,C0477,Current,Active
A0478,C0478,Savings,Active
A0479,C0479,Current,Active
A0480,C0480,Savings,Active
A0481,C0481,Current,Active
A0482,C0482,Savings,Active
A0483,C0483,Current,Active
A0484,C0484,Savings,Active
A0485,C0485,Current,Active
A0486,C0486,Savings,Active
A0487,C0487,Current,Active
A0488,C0488,Savings,Active
A0489,C0489,Current,Active
A0490,C0490,Savings,Active
A0491,C0491,Current,Active
A0492,C0492,Savings,Active
A0493,C0493,Current,Active
A0494,C0494,Savings,Active
A0495,C0495,Current,Active
A0496,C0496,Savings,Active
A0497,C0497,Current,Active
A0498,C0498,Savings,Active
A0499,C0499,Current,Active
A0500,C0500,Savings,Active
A0501,C0501,Current,Active
A0502,C0502,Savings,Active
A0503,C0503,Current,Active
A0504,C0504,Savings,Active
A0505,C0505,Current,Active
A0506,C0506,Savings,Active
A0507,C0507,Current,Active
A0508,C0508,Savings,Active
A0509,C0509,Current,Active
A0510,C0510,Savings,Active
A0511,C0511,Current,Active
A0512,C0512,Savings,Active
A0513,C0513,Current,Active
A0514,C0514,Savings,Active
A0515,C0515,Current,Active
A0516,C0516,Savings,Active
A0517,C0517,Current,Active
A0518,C0518,Savings,Active
A0519,C0519,Current,Active
A0520,C0520,Savings,Active
A0521,C0521,Current,Active
A0522,C0522,Savings,Active
A0523,C0523,Current,Active
A0524,C0524,Savings,Active
A0525,C0525,Current,Active
A0526,C0526,Savings,Active
A0527,C0527,Current,Active
A0528,C0528,Savings,Active
A0529,C0529,Current,Active
A0530,C0530,Savings,Active
A0531,C0531,Current,Active
A0532,C0532,Savings,Active
A0533,C0533,Current,Active
A0534,C0534,Savings,Active
A0535,C0535,Current,Active
A0536,C0536,Savings,Active
A0537,C0537,Current,Active
A0538,C0538,Savings,Active
A0539,C0539,Current,Active
A0540,C0540,Savings,Active
A0541,C0541,Current,Active
A0542,C0542,Savings,Active
A0543,C0543,Current,Active
A0544,C0544,Savings,Active
A0545,C0545,Current,Active
A0546,C0546,Savings,Active
A0547,C0547,Current,Active
A0548,C0548,Savings,Active
A0549,C0549,Current,Active
A0550,C0550,Savings,Active
A0551,C0551,Current,Active
A0552,C0552,Savings,Active
A0553,C0553,Current,Active
A0554,C0554,Savings,Active
A0555,C0555,Current,Active
A0556,C0556,Savings,Active
A0557,C0557,Current,Active
A0558,C0558,Savings,Active
A0559,C0559,Current,Active
A0560,C0560,Savings,Active
A0561,C0561,Current,Active
A0562,C0562,Savings,Active
A0563,C0563,Current,Active
A0564,C0564,Savings,Active
A0565,C0565,Current,Active
A0566,C0566,Savings,Active
A0567,C0567,Current,Active
A0568,C0568,Savings,Active
A0569,C0569,Current,Active
A0570,C0570,Savings,Active
A0571,C0571,Current,Active
A0572,C0572,Savings,Active
A0573,C0573,Current,Active
A0574,C0574,Savings,Active
A0575,C0575,Current,Active
A0576,C0576,Savings,Active
A0577,C0577,Current,Active
A0578,C0578,Savings,Active
A0579,C0579,Current,Active
A0580,C0580,Savings,Active
A0581,C0581,Current,Active
A0582,C0582,Savings,Active
A0583,C0583,Current,Active
A0584,C0584,Savings,Active
A0585,C0585,Current,Active
A0586,C0586,Savings,Active
A0587,C0587,Current,Active
A0588,C0588,Savings,Active
A0589,C0589,Current,Active
A0590,C0590,Savings,Active
A0591,C0591,Current,Active
A0592,C0592,Savings,Active
A0593,C0593,Current,Active
A0594,C0594,Savings,Active
A0595,C0595,Current,Active
A0596,C0596,Savings,Active
A0597,C0597,Current,Active
A0598,C0598,Savings,Active
A0599,C0599,Current,Active
A0600,C0600,Savings,Active
A0601,C0601,Current,Active
A0602,C0602,Savings,Active
A0603,C0603,Current,Active
A0604,C0604,Savings,Active
A0605,C0605,Current,Active
A0606,C0606,Savings,Active
A0607,C0607,Current,Active
A0608,C0608,Savings,Active
A0609,C0609,Current,Active
A0610,C0610,Savings,Active
A0611,C0611,Current,Active
A0612,C0612,Savings,Active
A0613,C0613,Current,Active
A0614,C0614,Savings,Active
A0615,C0615,Current,Active
A0616,C0616,Savings,Active
A0617,C0617,Current,Active
A0618,C0618,Savings,Active
A0619,C0619,Current,Active
A0620,C0620,Savings,Active
A0621,C0621,Current,Active
A0622,C0622,Savings,Active
A0623,C0623,Current,Active
A0624,C0624,Savings,Active
A0625,C0625,Current,Active
A0626,C0626,Savings,Active
A0627,C0627,Current,Active
A0628,C0628,Savings,Active
A0629,C0629,Current,Active
A0630,C0630,Savings,Active
A0631,C0631,Current,Active
A0632,C0632,Savings,Active
A0633,C0633,Current,Active
A0634,C0634,Savings,Active
A0635,C0635,Current,Active
A0636,C0636,Savings,Active
A0637,C0637,Current,Active
A0638,C0638,Savings,Active
A0639,C0639,Current,Active
A0640,C0640,Savings,Active
A0641,C0641,Current,Active
A0642,C0642,Savings,Active
A0643,C0643,Current,Active
A0644,C0644,Savings,Active
A0645,C0645,Current,Active
A0646,C0646,Savings,Active
A0647,C0647,Current,Active
A0648,C0648,Savings,Active
A0649,C0649,Current,Active
A0650,C0650,Savings,Active
A0651,C0651,Current,Active
A0652,C0652,Savings,Active
A0653,C0653,Current,Active
A0654,C0654,Savings,Active
A0655,C0655,Current,Active
A0656,C0656,Savings,Active
A0657,C0657,Current,Active
A0658,C0658,Savings,Active
A0659,C0659,Current,Active
A0660,C0660,Savings,Active
A0661,C0661,Current,Active
A0662,C0662,Savings,Active
A0663,C0663,Current,Active
A0664,C0664,Savings,Active
A0665,C0665,Current,Active
A0666,C0666,Savings,Active
A0667,C0667,Current,Active
A0668,C0668,Savings,Active
A0669,C0669,Current,Active
A0670,C0670,Savings,Active
A0671,C0671,Current,Active
A0672,C0672,Savings,Active
A0673,C0673,Current,Active
A0674,C0674,Savings,Active
A0675,C0675,Current,Active
A0676,C0676,Savings,Active
A0677,C0677,Current,Active
A0678,C0678,Savings,Active
A0679,C0679,Current,Active
A0680,C0680,Savings,Active
A0681,C0681,Current,Active
A0682,C0682,Savings,Active
A0683,C0683,Current,Active
A0684,C0684,Savings,Active
A0685,C0685,Current,Active
A0686,C0686,Savings,Active
A0687,C0687,Current,Active
A0688,C0688,Savings,Active
A0689,C0689,Current,Active
A0690,C0690,Savings,Active
A0691,C0691,Current,Active
A0692,C0692,Savings,Active
A0693,C0693,Current,Active
A0694,C0694,Savings,Active
A0695,C0695,Current,Active
A0696,C0696,Savings,Active
A0697,C0697,Current,Active
A0698,C0698,Savings,Active
A0699,C0699,Current,Active
A0700,C0700,Savings,Active
A0701,C0701,Current,Active
A0702,C0702,Savings,Active
A0703,C0703,Current,Active
A0704,C0704,Savings,Active
A0705,C0705,Current,Active
A0706,C0706,Savings,Active
A0707,C0707,Current,Active
A0708,C0708,Savings,Active
A0709,C0709,Current,Active
A0710,C0710,Savings,Active
A0711,C0711,Current,Active
A0712,C0712,Savings,Active
A0713,C0713,Current,Active
A0714,C0714,Savings,Active
A0715,C0715,Current,Active
A0716,C0716,Savings,Active
A0717,C0717,Current,Active
A0718,C0718,Savings,Active
A0719,C0719,Current,Active
A0720,C0720,Savings,Active
A0721,C0721,Current,Active
A0722,C0722,Savings,Active
A0723,C0723,Current,Active
A0724,C0724,Savings,Active
A0725,C0725,Current,Active
A0726,C0726,Savings,Active
A0727,C0727,Current,Active
A0728,C0728,Savings,Active
A0729,C0729,Current,Active
A0730,C0730,Savings,Active
A0731,C0731,Current,Active
A0732,C0732,Savings,Active
A0733,C0733,Current,Active
A0734,C0734,Savings,Active
A0735,C0735,Current,Active
A0736,C0736,Savings,Active
A0737,C0737,Current,Active
A0738,C0738,Savings,Active
A0739,C0739,Current,Active
A0740,C0740,Savings,Active
A0741,C0741,Current,Active
A0742,C0742,Savings,Active
A0743,C0743,Current,Active
A0744,C0744,Savings,Active
A0745,C0745,Current,Active
A0746,C0746,Savings,Active
A0747,C0747,Current,Active
A0748,C0748,Savings,Active
A0749,C0749,Current,Active
A0750,C0750,Savings,Active
A0751,C0751,Current,Active
A0752,C0752,Savings,Active
A0753,C0753,Current,Active
A0754,C0754,Savings,Active
A0755,C0755,Current,Active
A0756,C0756,Savings,Active
A0757,C0757,Current,Active
A0758,C0758,Savings,Active
A0759,C0759,Current,Active
A0760,C0760,Savings,Active
A0761,C0761,Current,Active
A0762,C0762,Savings,Active
A0763,C0763,Current,Active
A0764,C0764,Savings,Active
A0765,C0765,Current,Active
A0766,C0766,Savings,Active
A0767,C0767,Current,Active
A0768,C0768,Savings,Active
A0769,C0769,Current,Active
A0770,C0770,Savings,Active
A0771,C0771,Current,Active
A0772,C0772,Savings,Active
A0773,C0773,Current,Active
A0774,C0774,Savings,Active
A0775,C0775,Current,Active
A0776,C0776,Savings,Active
A0777,C0777,Current,Active
A0778,C0778,Savings,Active
A0779,C0779,Current,Active
A0780,C0780,Savings,Active
A0781,C0781,Current,Active
A0782,C0782,Savings,Active
A0783,C0783,Current,Active
A0784,C0784,Savings,Active
A0785,C0785,Current,Active
A0786,C0786,Savings,Active
A0787,C0787,Current,Active
A0788,C0788,Savings,Active
A0789,C0789,Current,Active
A0790,C0790,Savings,Active
A0791,C0791,Current,Active
A0792,C0792,Savings,Active
A0793,C0793,Current,Active
A0794,C0794,Savings,Active
A0795,C0795,Current,Active
A0796,C0796,Savings,Active
A0797,C0797,Current,Active
A0798,C0798,Savings,Active
A0799,C0799,Current,Active
A0800,C0800,Savings,Active
A0801,C0801,Current,Active
A0802,C0802,Savings,Active
A0803,C0803,Current,Active
A0804,C0804,Savings,Active
A0805,C0805,Current,Active
A0806,C0806,Savings,Active
A0807,C0807,Current,Active
A0808,C0808,Savings,Active
A0809,C0809,Current,Active
A0810,C0810,Savings,Active
A0811,C0811,Current,Active
A0812,C0812,Savings,Active
A0813,C0813,Current,Active
A0814,C0814,Savings,Active
A0815,C0815,Current,Active
A0816,C0816,Savings,Active
A0817,C0817,Current,Active
A0818,C0818,Savings,Active
A0819,C0819,Current,Active
A0820,C0820,Savings,Active
A0821,C0821,Current,Active
A0822,C0822,Savings,Active
A0823,C0823,Current,Active
A0824,C0824,Savings,Active
A0825,C0825,Current,Active
A0826,C0826,Savings,Active
A0827,C0827,Current,Active
A0828,C0828,Savings,Active
A0829,C0829,Current,Active
A0830,C0830,Savings,Active
A0831,C0831,Current,Active
A0832,C0832,Savings,Active
A0833,C0833,Current,Active
A0834,C0834,Savings,Active
A0835,C0835,Current,Active
A0836,C0836,Savings,Active
A0837,C0837,Current,Active
A0838,C0838,Savings,Active
A0839,C0839,Current,Active
A0840,C0840,Savings,Active
A0841,C0841,Current,Active
A0842,C0842,Savings,Active
A0843,C0843,Current,Active
A0844,C0844,Savings,Active
A0845,C0845,Current,Active
A0846,C0846,Savings,Active
A0847,C0847,Current,Active
A0848,C0848,Savings,Active
A0849,C0849,Current,Active
A0850,C0850,Savings,Active
A0851,C0851,Current,Active
A0852,C0852,Savings,Active
A0853,C0853,Current,Active
A0854,C0854,Savings,Active
A0855,C0855,Current,Active
A0856,C0856,Savings,Active
A0857,C0857,Current,Active
A0858,C0858,Savings,Active
A0859,C0859,Current,Active
A0860,C0860,Savings,Active
A0861,C0861,Current,Active
A0862,C0862,Savings,Active
A0863,C0863,Current,Active
A0864,C0864,Savings,Active
A0865,C0865,Current,Active
A0866,C0866,Savings,Active
A0867,C0867,Current,Active
A0868,C0868,Savings,Active
A0869,C0869,Current,Active
A0870,C0870,Savings,Active
A0871,C0871,Current,Active
A0872,C0872,Savings,Active
A0873,C0873,Current,Active
A0874,C0874,Savings,Active
A0875,C0875,Current,Active
A0876,C0876,Savings,Active
A0877,C0877,Current,Active
A0878,C0878,Savings,Active
A0879,C0879,Current,Active
A0880,C0880,Savings,Active
A0881,C0881,Current,Active
A0882,C0882,Savings,Active
A0883,C0883,Current,Active
A0884,C0884,Savings,Active
A0885,C0885,Current,Active
A0886,C0886,Savings,Active
A0887,C0887,Current,Active
A0888,C0888,Savings,Active
A0889,C0889,Current,Active
A0890,C0890,Savings,Active
A0891,C0891,Current,Active
A0892,C0892,Savings,Active
A0893,C0893,Current,Active
A0894,C0894,Savings,Active
A0895,C0895,Current,Active
A0896,C0896,Savings,Active
A0897,C0897,Current,Active
A0898,C0898,Savings,Active
A0899,C0899,Current,Active
A0900,C0900,Savings,Active
A0901,C0901,Current,Active
A0902,C0902,Savings,Active
A0903,C0903,Current,Active
A0904,C0904,Savings,Active
A0905,C0905,Current,Active
A0906,C0906,Savings,Active
A0907,C0907,Current,Active
A0908,C0908,Savings,Active
A0909,C0909,Current,Active
A0910,C0910,Savings,Active
A0911,C0911,Current,Active
A0912,C0912,Savings,Active
A0913,C0913,Current,Active
A0914,C0914,Savings,Active
A0915,C0915,Current,Active
A0916,C0916,Savings,Active
A0917,C0917,Current,Active
A0918,C0918,Savings,Active
A0919,C0919,Current,Active
A0920,C0920,Savings,Active
A0921,C0921,Current,Active
A0922,C0922,Savings,Active
A0923,C0923,Current,Active
A0924,C0924,Savings,Active
A0925,C0925,Current,Active
A0926,C0926,Savings,Active
A0927,C0927,Current,Active
A0928,C0928,Savings,Active
A0929,C0929,Current,Active
A0930,C0930,Savings,Active
A0931,C0931,Current,Active
A0932,C0932,Savings,Active
A0933,C0933,Current,Active
A0934,C0934,Savings,Active
A0935,C0935,Current,Active
A0936,C0936,Savings,Active
A0937,C0937,Current,Active
A0938,C0938,Savings,Active
A0939,C0939,Current,Active
A0940,C0940,Savings,Active
A0941,C0941,Current,Active
A0942,C0942,Savings,Active
A0943,C0943,Current,Active
A0944,C0944,Savings,Active
A0945,C0945,Current,Active
A0946,C0946,Savings,Active
A0947,C0947,Current,Active
A0948,C0948,Savings,Active
A0949,C0949,Current,Active
A0950,C0950,Savings,Active
A0951,C0951,Current,Active
A0952,C0952,Savings,Active
A0953,C0953,Current,Active
A0954,C0954,Savings,Active
A0955,C0955,Current,Active
A0956,C0956,Savings,Active
A0957,C0957,Current,Active
A0958,C0958,Savings,Active
A0959,C0959,Current,Active
A0960,C0960,Savings,Active
A0961,C0961,Current,Active
A0962,C0962,Savings,Active
